serial ,build date,mfg location,lot number,QR Data
K068,Jul-25,SJ,1,https://QR.looma.education?serial=K068&date=July 2025&location=SJ&lot=1

K068,Jul-25,SJ,1,https://QR.looma.education?serial=K068&date=July 2025&location=SJ&lot=1

K068,Jul-25,SJ,1,https://QR.looma.education?serial=K068&date=July 2025&location=SJ&lot=1

K069,Jul-25,SJ,1,https://QR.looma.education?serial=K069&date=July 2025&location=SJ&lot=1

K069,Jul-25,SJ,1,https://QR.looma.education?serial=K069&date=July 2025&location=SJ&lot=1

K069,Jul-25,SJ,1,https://QR.looma.education?serial=K069&date=July 2025&location=SJ&lot=1

K070,Jul-25,SJ,1,https://QR.looma.education?serial=K070&date=July 2025&location=SJ&lot=1

K070,Jul-25,SJ,1,https://QR.looma.education?serial=K070&date=July 2025&location=SJ&lot=1

K070,Jul-25,SJ,1,https://QR.looma.education?serial=K070&date=July 2025&location=SJ&lot=1

K071,Jul-25,SJ,1,https://QR.looma.education?serial=K071&date=July 2025&location=SJ&lot=1

K071,Jul-25,SJ,1,https://QR.looma.education?serial=K071&date=July 2025&location=SJ&lot=1

K071,Jul-25,SJ,1,https://QR.looma.education?serial=K071&date=July 2025&location=SJ&lot=1

K072,Jul-25,SJ,1,https://QR.looma.education?serial=K072&date=July 2025&location=SJ&lot=1

K072,Jul-25,SJ,1,https://QR.looma.education?serial=K072&date=July 2025&location=SJ&lot=1

K072,Jul-25,SJ,1,https://QR.looma.education?serial=K072&date=July 2025&location=SJ&lot=1

K073,Jul-25,SJ,1,https://QR.looma.education?serial=K073&date=July 2025&location=SJ&lot=1

K073,Jul-25,SJ,1,https://QR.looma.education?serial=K073&date=July 2025&location=SJ&lot=1

K073,Jul-25,SJ,1,https://QR.looma.education?serial=K073&date=July 2025&location=SJ&lot=1

K074,Jul-25,SJ,1,https://QR.looma.education?serial=K074&date=July 2025&location=SJ&lot=1

K074,Jul-25,SJ,1,https://QR.looma.education?serial=K074&date=July 2025&location=SJ&lot=1

K074,Jul-25,SJ,1,https://QR.looma.education?serial=K074&date=July 2025&location=SJ&lot=1

K075,Jul-25,SJ,1,https://QR.looma.education?serial=K075&date=July 2025&location=SJ&lot=1

K075,Jul-25,SJ,1,https://QR.looma.education?serial=K075&date=July 2025&location=SJ&lot=1

K075,Jul-25,SJ,1,https://QR.looma.education?serial=K075&date=July 2025&location=SJ&lot=1

K076,Jul-25,SJ,1,https://QR.looma.education?serial=K076&date=July 2025&location=SJ&lot=1

K076,Jul-25,SJ,1,https://QR.looma.education?serial=K076&date=July 2025&location=SJ&lot=1

K076,Jul-25,SJ,1,https://QR.looma.education?serial=K076&date=July 2025&location=SJ&lot=1

K077,Jul-25,SJ,1,https://QR.looma.education?serial=K077&date=July 2025&location=SJ&lot=1

K077,Jul-25,SJ,1,https://QR.looma.education?serial=K077&date=July 2025&location=SJ&lot=1

K077,Jul-25,SJ,1,https://QR.looma.education?serial=K077&date=July 2025&location=SJ&lot=1

K078,Jul-25,SJ,1,https://QR.looma.education?serial=K078&date=July 2025&location=SJ&lot=1

K078,Jul-25,SJ,1,https://QR.looma.education?serial=K078&date=July 2025&location=SJ&lot=1

K078,Jul-25,SJ,1,https://QR.looma.education?serial=K078&date=July 2025&location=SJ&lot=1

K079,Jul-25,SJ,1,https://QR.looma.education?serial=K079&date=July 2025&location=SJ&lot=1

K079,Jul-25,SJ,1,https://QR.looma.education?serial=K079&date=July 2025&location=SJ&lot=1

K079,Jul-25,SJ,1,https://QR.looma.education?serial=K079&date=July 2025&location=SJ&lot=1

K080,Jul-25,SJ,1,https://QR.looma.education?serial=K080&date=July 2025&location=SJ&lot=1

K080,Jul-25,SJ,1,https://QR.looma.education?serial=K080&date=July 2025&location=SJ&lot=1

K080,Jul-25,SJ,1,https://QR.looma.education?serial=K080&date=July 2025&location=SJ&lot=1

K081,Jul-25,SJ,1,https://QR.looma.education?serial=K081&date=July 2025&location=SJ&lot=1

K081,Jul-25,SJ,1,https://QR.looma.education?serial=K081&date=July 2025&location=SJ&lot=1

K081,Jul-25,SJ,1,https://QR.looma.education?serial=K081&date=July 2025&location=SJ&lot=1

K082,Jul-25,SJ,1,https://QR.looma.education?serial=K082&date=July 2025&location=SJ&lot=1

K082,Jul-25,SJ,1,https://QR.looma.education?serial=K082&date=July 2025&location=SJ&lot=1

K082,Jul-25,SJ,1,https://QR.looma.education?serial=K082&date=July 2025&location=SJ&lot=1

K083,Jul-25,SJ,1,https://QR.looma.education?serial=K083&date=July 2025&location=SJ&lot=1

K083,Jul-25,SJ,1,https://QR.looma.education?serial=K083&date=July 2025&location=SJ&lot=1

K083,Jul-25,SJ,1,https://QR.looma.education?serial=K083&date=July 2025&location=SJ&lot=1

K084,Jul-25,SJ,1,https://QR.looma.education?serial=K084&date=July 2025&location=SJ&lot=1

K084,Jul-25,SJ,1,https://QR.looma.education?serial=K084&date=July 2025&location=SJ&lot=1

K084,Jul-25,SJ,1,https://QR.looma.education?serial=K084&date=July 2025&location=SJ&lot=1

K085,Jul-25,SJ,1,https://QR.looma.education?serial=K085&date=July 2025&location=SJ&lot=1

K085,Jul-25,SJ,1,https://QR.looma.education?serial=K085&date=July 2025&location=SJ&lot=1

K085,Jul-25,SJ,1,https://QR.looma.education?serial=K085&date=July 2025&location=SJ&lot=1

K086,Jul-25,SJ,1,https://QR.looma.education?serial=K086&date=July 2025&location=SJ&lot=1

K086,Jul-25,SJ,1,https://QR.looma.education?serial=K086&date=July 2025&location=SJ&lot=1

K086,Jul-25,SJ,1,https://QR.looma.education?serial=K086&date=July 2025&location=SJ&lot=1

K087,Jul-25,SJ,1,https://QR.looma.education?serial=K087&date=July 2025&location=SJ&lot=1

K087,Jul-25,SJ,1,https://QR.looma.education?serial=K087&date=July 2025&location=SJ&lot=1

K087,Jul-25,SJ,1,https://QR.looma.education?serial=K087&date=July 2025&location=SJ&lot=1

K088,Jul-25,SJ,1,https://QR.looma.education?serial=K088&date=July 2025&location=SJ&lot=1

K088,Jul-25,SJ,1,https://QR.looma.education?serial=K088&date=July 2025&location=SJ&lot=1

K088,Jul-25,SJ,1,https://QR.looma.education?serial=K088&date=July 2025&location=SJ&lot=1

K089,Jul-25,SJ,1,https://QR.looma.education?serial=K089&date=July 2025&location=SJ&lot=1

K089,Jul-25,SJ,1,https://QR.looma.education?serial=K089&date=July 2025&location=SJ&lot=1

K089,Jul-25,SJ,1,https://QR.looma.education?serial=K089&date=July 2025&location=SJ&lot=1

K090,Jul-25,SJ,1,https://QR.looma.education?serial=K090&date=July 2025&location=SJ&lot=1

K090,Jul-25,SJ,1,https://QR.looma.education?serial=K090&date=July 2025&location=SJ&lot=1

K090,Jul-25,SJ,1,https://QR.looma.education?serial=K090&date=July 2025&location=SJ&lot=1

K091,Jul-25,SJ,1,https://QR.looma.education?serial=K091&date=July 2025&location=SJ&lot=1

K091,Jul-25,SJ,1,https://QR.looma.education?serial=K091&date=July 2025&location=SJ&lot=1

K091,Jul-25,SJ,1,https://QR.looma.education?serial=K091&date=July 2025&location=SJ&lot=1

K092,Jul-25,SJ,1,https://QR.looma.education?serial=K092&date=July 2025&location=SJ&lot=1

K092,Jul-25,SJ,1,https://QR.looma.education?serial=K092&date=July 2025&location=SJ&lot=1

K092,Jul-25,SJ,1,https://QR.looma.education?serial=K092&date=July 2025&location=SJ&lot=1

K093,Jul-25,SJ,1,https://QR.looma.education?serial=K093&date=July 2025&location=SJ&lot=1

